,Unnamed: 0,Species Name,Common Name,Type,Location(s),Estimated Population,Threats,Reino,Clase,Familia,Reproducción,Conservation Status,Conservation Name,País,Interacciones Ecológicas,Categorized Population
0,0,Abies beshanzuensis,Baishan fir,Plant (Tree),"Baishanzu Mountain, Zhejiang, China",5 mature individuals,"Agriculture, fire",Plantae,Pinopsida,Pinaceae,Sexual,CR,En Peligro Crítico,China,Productor primario,Otros
1,1,Actinote zikani,-,Insect,"Near São Paulo, Atlantic forest, Brazil",Unknown,Habitat loss from human expansion,Animalia,Insecta,Nymphalidae,Sexual,CR,En Peligro Crítico,Brazil,Polinizador,Desconocido
2,2,Aipysurus foliosquama,Leaf scaled sea-snake,Reptile,"Ashmore Reef and Hibernia Reef, Timor Sea",Unknown,Unknown—probably degradation of coral reef habitat,Animalia,Reptilia,Elapidae,Sexual,CR,En Peligro Crítico,Timor Sea,Depredador,Desconocido
3,3,Amanipodagrion gilliesi,Amani flatwing,Insect,"Amani-Sigi Forest, Usambara Mountains, Tanzania",< 500 individuals,"Population pressure, water pollution",Animalia,Insecta,Megapodagrionidae,Sexual,CR,En Peligro Crítico,Tanzania,Polinizador,Pocos (100-500)
4,4,Antisolabis seychellensis,-,Insect,"Morne Blanc, Mahé island, Seychelles",Unknown,"Invasive species, climate change",Animalia,Insecta,Anisolabididae,Sexual,CR,En Peligro Crítico,Seychelles,Depredador,Desconocido
5,5,Antilophia bokermanni,Araripe manakin,Bird,"Chapado do Araripe, South Ceará, Brazil",779 individuals,"Recreational facilities, water diversion",Animalia,Aves,Pipridae,Sexual,VU,Vulnerable,Brazil,Dispersionador de semillas,"Moderados (1,000-10,000)"
6,6,Aphanius transgrediens,Aci Gö toothcarp,Fish,"South-eastern shore of former Lake Aci, Turkey",Few hundred pairs,"Competition, predation by Gambusia, road construction",Animalia,Actinopterygii,Cyprinodontidae,Sexual,LC,Preocupación Menor,Turkey,Depredador,Otros
7,7,Aproteles bulmerae,Bulmer's fruit bat,Mammal,"Luplupwintern Cave, Western Province, Papua NG",150 individuals,"Hunting, cave disturbance",Animalia,Mammalia,Pteropodidae,Sexual,EN,En Peligro,Papua NG,Frugívoro,Pocos (100-500)
8,8,Ardea insignis,White bellied heron,Bird,"Bhutan, North East India, Myanmar",70–400 individuals,Hydropower development,Animalia,Aves,Ardeidae,Sexual,NT,Casi Amenazado,Myanmar,Depredador,"Pocos (100-1,000)"
9,9,Ardeotis nigriceps,Great Indian bustard,Bird,"Rajasthan, Gujarat, Maharashtra, India",50–249 mature individuals,"Agricultural development, energy transmission lines",Animalia,Aves,Otididae,Sexual,NT,Casi Amenazado,India,Herbívoro,Otros
